O sistema funciona sem falhas.;Os recursos de acessibilidade do sistema são fáceis de encontrar.;O sistema é fácil de usar.;O sistema está disponível para uso em qualquer dia e hora.;O desempenho do sistema é satisfatório, independentemente da forma de acesso.;O sistema informa sobre as políticas de privacidade e segurança.;Acredito que meus dados estão seguros neste sistema.;É fácil localizar os serviços e as informações no sistema.;A navegação pelo sistema é intuitiva.;O sistema oferece instruções úteis de como utilizar os serviços.;As informações são fáceis de entender.;As informações são precisas.;As informações auxiliam na solicitação dos serviços.;Todas as informações necessárias para a solicitação dos serviços são fornecidas.;O prazo de entrega dos serviços é informado.;As taxas cobradas pelos serviços são informadas.;As informações disponibilizadas estão atualizadas.;Os serviços oferecem suporte técnico eficiente.;O atendimento resolve meus problemas.;Os serviços permitem a conclusão das tarefas no menor tempo possível.;Consigo obter o que preciso no menor tempo possível.;Os serviços atendem às minhas expectativas.;Quando preciso de ajuda, minhas dificuldades são resolvidas.;Meus dados são automaticamente identificados na solicitação dos serviços.;Os serviços oferecidos são confiáveis.;Os serviços permitem interações em tempo real (ex. chatbot, IA).;Qual o seu nível de satisfação com o Sistema?;Qual o seu sexo?;Qual a sua idade?;Qual seu nível de escolaridade completo?;Você é funcionário público?
Concordo;Discordo;Discordo;Não sei;Indiferente;Concordo;Discordo;Discordo;Concordo totalmente;;Discordo;Discordo;Discordo;Discordo;Discordo;;Discordo;Discordo;Indiferente;Discordo;Discordo;Indiferente;Indiferente;Discordo;Discordo;Concordo;Indiferente;Feminino;20;Ensino Superior;Não
Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei;Não sei;Concordo;Concordo;Não sei;Não sei;Não sei;Concordo;Não sei;Satisfeito;Feminino;20;Ensino Superior;Não
Concordo;Discordo;Discordo;Concordo;Não sei;Concordo;Concordo;Discordo;Discordo;Indiferente;Concordo;Concordo;Não sei;Não sei;Não sei;Não sei;Concordo;Não sei;Não sei;Discordo;Discordo;Indiferente;Não sei;Não sei;Concordo;Não sei;Satisfeito;Feminino;21;Curso Técnico;Não
Concordo totalmente;Indiferente;Indiferente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo;;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo totalmente;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Muito satisfeito;Masculino;19;Ensino Médio;Não
Concordo;Concordo;Concordo;Não sei;Não sei;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Concordo;Concordo;;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Satisfeito;Masculino;19;Ensino Médio;Não
Concordo;Concordo;Concordo;Não sei;Concordo;Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Não sei;Não sei;Não sei;Discordo;Não sei;Não sei;Discordo;Concordo;Concordo;Concordo;Não sei;Concordo;Não sei;Indiferente;Masculino;26;Ensino Médio;Não
Concordo totalmente;Concordo;Concordo;Não sei;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei;Concordo;Indiferente;Concordo;Discordo;Concordo;Indiferente;Não sei;Não sei;Concordo;Concordo;Satisfeito;Feminino;28;Pós-Graduação;Não
Concordo;Concordo;Concordo;Concordo;Indiferente;Indiferente;Indiferente;Concordo;Concordo;Discordo;Indiferente;Indiferente;Concordo;Concordo;Concordo;Indiferente;Concordo;Indiferente;Concordo;Indiferente;Indiferente;Concordo;Concordo;Concordo;Indiferente;Indiferente;Satisfeito;Masculino;19;Ensino Médio;Não
Indiferente;Concordo;Concordo;Não sei;Discordo;Concordo;Não sei;Concordo totalmente;Concordo;Indiferente;Concordo;Concordo;Indiferente;Não sei;Não sei;Não sei;Não sei;Indiferente;Concordo;Concordo;Concordo;Concordo;Discordo;Não sei;Concordo;Não sei;Satisfeito;Feminino;19;Ensino Médio;Não
Indiferente;Discordo;Discordo;Não sei;Discordo;Não sei;Concordo;Discordo;Discordo totalmente;Discordo;Discordo;Discordo;Discordo;Indiferente;Não sei;Não sei;Não sei;Não sei;Indiferente;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Indiferente;Masculino;19;Ensino Médio;Não
Indiferente;Discordo;Indiferente;Concordo;Indiferente;Concordo;Não sei;Indiferente;Indiferente;Discordo;Discordo;Discordo;Discordo;Indiferente;Concordo;Não sei;Não sei;Não sei;Discordo;Indiferente;Não sei;Indiferente;Não sei;Não sei;Não sei;Não sei;Indiferente;Masculino;21;Ensino Médio;Não
Indiferente;Concordo;Concordo;Concordo;Indiferente;Concordo;Concordo;Concordo;Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Indiferente;Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Muito satisfeito;Feminino;19;Ensino Médio;Não
Concordo;Concordo;Indiferente;Concordo totalmente;Concordo;Não sei;Concordo;Discordo;Indiferente;Indiferente;Indiferente;Concordo;Não sei;Não sei;Indiferente;Não sei;Concordo;Não sei;Não sei;Concordo;Concordo;Concordo;Concordo;Indiferente;Concordo;Não sei;Satisfeito;Masculino;19;Ensino Médio;Não
Concordo;Discordo;Discordo;Não sei;Discordo;Não sei;Não sei;Discordo;Discordo;Discordo;Concordo;Concordo;Não sei;Indiferente;Não sei;Não sei;Concordo;Não sei;Não sei;Não sei;Discordo totalmente;Discordo;Não sei;Não sei;Não sei;Não sei;Indiferente;Masculino;21;Ensino Médio;Não
Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Indiferente;Concordo;Indiferente;Concordo;Concordo;Indiferente;Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei;Não sei;Não sei;Concordo;Satisfeito;Feminino;19;Ensino Médio;Não
Concordo;Não sei;Concordo;Não sei;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Não sei;Indiferente;Concordo;Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Não sei;Não sei;Satisfeito;Masculino;21;Ensino Superior;Não
Indiferente;Discordo;Concordo;Concordo totalmente;Discordo;Concordo;Concordo;Discordo;Discordo;Concordo;Discordo;Discordo;Concordo;Concordo;Concordo;Indiferente;Concordo;Indiferente;Indiferente;Discordo;Discordo;Discordo;Concordo;Indiferente;Concordo;Discordo;Indiferente;Masculino;24;Ensino Superior;Não
Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Indiferente;Discordo;Concordo;Indiferente;Indiferente;Concordo;Concordo;Concordo;Indiferente;Concordo;Concordo;Concordo;Satisfeito;Feminino;44;Pós-Graduação;Sim
Concordo;Discordo;Concordo;Indiferente;Discordo;Concordo;Concordo;Discordo;Concordo;Discordo;Discordo;Indiferente;Indiferente;Concordo;Não sei;Não sei;Concordo;Não sei;Indiferente;Discordo totalmente;Discordo totalmente;Discordo;Não sei;Não sei;Concordo;;Indiferente;Masculino;24;Ensino Médio;Não
Discordo;Concordo;Concordo;Concordo;Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Insatisfeito;Feminino;;Ensino Médio;Não
Concordo totalmente;Não sei;Concordo totalmente;Concordo totalmente;Concordo totalmente;Indiferente;Não sei;Concordo totalmente;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Discordo totalmente;Discordo totalmente;Concordo totalmente;Concordo totalmente;Não sei;Concordo;Concordo;Concordo;Não sei;Discordo;Concordo totalmente;Não sei;Satisfeito;Masculino;39;Pós-Graduação;Sim
Discordo;Discordo;Concordo;Concordo;Discordo;Concordo;Não sei;Discordo;Indiferente;Discordo;Concordo;Concordo;Concordo;Concordo;Não sei;Não sei;Concordo;Não sei;Não sei;Não sei;Discordo;Indiferente;Não sei;Não sei;Concordo;Não sei;Satisfeito;Feminino;24;Ensino Superior;Não
Concordo;Concordo;Concordo totalmente;Concordo;Discordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Não sei;Não sei;Não sei;Concordo;Concordo totalmente;Não sei;Não sei;Não sei;Concordo totalmente;Concordo;Concordo;Não sei;Não sei;Não sei;Satisfeito;Feminino;21;Curso Técnico;Não
Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo totalmente;Indiferente;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Concordo totalmente;Indiferente;Indiferente;Concordo;Concordo totalmente;Indiferente;Indiferente;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo;Concordo totalmente;Concordo;Muito satisfeito;Masculino;30;Pós-Graduação;Não
Concordo;Concordo;Concordo;Indiferente;Concordo;Concordo;Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Indiferente;Indiferente;Indiferente;Concordo;Concordo;Indiferente;Concordo;Indiferente;Indiferente;Concordo;Satisfeito;Feminino;28;Curso Técnico;Não
Concordo totalmente;Discordo totalmente;Indiferente;Concordo;Discordo totalmente;Concordo;Concordo;Indiferente;Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Satisfeito;Feminino;41;Curso Técnico;Não
Indiferente;Indiferente;Indiferente;Concordo;Indiferente;Não sei;Não sei;Indiferente;Indiferente;Indiferente;Discordo;Não sei;Indiferente;Indiferente;Indiferente;Não sei;Não sei;Não sei;Não sei;Não sei;Indiferente;Indiferente;Indiferente;Não sei;Não sei;Não sei;Indiferente;Feminino;27;Curso Técnico;Não
Discordo;Discordo;Discordo;Indiferente;Discordo;Concordo;Indiferente;Indiferente;Indiferente;Não sei;Indiferente;Discordo;Discordo;Discordo;Discordo;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Concordo;Concordo;Indiferente;Indiferente;Feminino;25;Curso Técnico;Não
Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Não sei;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Não sei;Concordo totalmente;Não sei;Não sei;Concordo totalmente;Não sei;Não sei;Não sei;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Não sei;Não sei;Muito satisfeito;Feminino;21;Curso Técnico;Não
Concordo;Indiferente;Concordo;Concordo;Indiferente;Concordo;Concordo;Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Satisfeito;Feminino;19;Curso Técnico;Não
Concordo totalmente;Concordo;Concordo;Concordo totalmente;Concordo;Concordo totalmente;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Satisfeito;Masculino;21;Curso Técnico;Não
Concordo;Discordo totalmente;Indiferente;Concordo totalmente;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Discordo;Indiferente;Concordo;Concordo;Concordo;Concordo;Satisfeito;Feminino;26;Ensino Médio;Não
Concordo;Não sei;Indiferente;Concordo;Concordo;Não sei;Concordo;Discordo;Indiferente;Discordo;Concordo;Concordo;Indiferente;Não sei;Concordo;Não sei;Concordo;Não sei;Não sei;Discordo;Indiferente;Concordo;Não sei;Concordo;Concordo;Não sei;Satisfeito;Masculino;37;Curso Técnico;Não
Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Indiferente;Concordo;Concordo;Indiferente;Indiferente;Discordo;Indiferente;Indiferente;Concordo;Concordo;Indiferente;Satisfeito;Feminino;21;Curso Técnico;Não
Concordo;Concordo;Concordo;Não sei;Indiferente;Indiferente;Indiferente;Concordo;Discordo;Discordo;Indiferente;Não sei;Concordo;Indiferente;Não sei;Não sei;Não sei;Não sei;Não sei;Concordo;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Indiferente;Feminino;21;Curso Técnico;Não
Concordo;Indiferente;Concordo;Concordo;Concordo;Concordo;Não sei;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Satisfeito;Feminino;25;Curso Técnico;Não
Discordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Muito satisfeito;Feminino;32;Ensino Superior;Não
Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei;Concordo;Concordo;Não sei;Discordo;Concordo;Concordo;Não sei;Não sei;Não sei;Concordo totalmente;Não sei;Não sei;Discordo;Discordo;Concordo;Não sei;Não sei;Não sei;Não sei;Satisfeito;Feminino;21;Curso Técnico;Não
Concordo;Concordo;Discordo;Concordo;Concordo;Não sei;Concordo;Discordo;Discordo;Concordo;Discordo;Concordo;Concordo;Não sei;Não sei;Não sei;Concordo;Concordo;Indiferente;Discordo;Indiferente;Concordo;Indiferente;Indiferente;Concordo;Indiferente;Indiferente;Feminino;20;Curso Técnico;Não
Discordo;Indiferente;Discordo;Concordo;Concordo;Discordo;Não sei;Concordo;Indiferente;Discordo totalmente;Concordo;Não sei;Concordo;Discordo;Concordo;Discordo;Concordo;Indiferente;Concordo;Indiferente;Indiferente;Indiferente;Discordo;Não sei;Concordo;Não sei;Indiferente;Feminino;19;Curso Técnico;Não
Concordo;Concordo;Discordo;Concordo;Concordo;Concordo;Não sei;Concordo;Concordo;Discordo;Indiferente;Indiferente;Concordo;Concordo;Indiferente;Não sei;Não sei;Discordo;Discordo;Discordo;Não sei;Discordo;Não sei;Não sei;Não sei;Não sei;Indiferente;Feminino;51;Curso Técnico;Não
Concordo;Discordo;Discordo;Não sei;Indiferente;Indiferente;Não sei;Discordo;Indiferente;Discordo;Discordo;Não sei;Discordo;Não sei;Indiferente;Não sei;Concordo;Indiferente;Discordo;Discordo;Discordo;Discordo;Não sei;Não sei;Não sei;Indiferente;Indiferente;Feminino;37;Curso Técnico;Não
Concordo;Concordo;Concordo;Concordo;Não sei;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Satisfeito;Masculino;33;Curso Técnico;Não
Discordo;Discordo;Indiferente;Indiferente;Indiferente;Concordo;Indiferente;Indiferente;Indiferente;Concordo;Discordo;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Satisfeito;Feminino;23;Ensino Superior;Não
Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Concordo;Indiferente;Concordo;Indiferente;Indiferente;Discordo;Concordo;Concordo;Concordo;Satisfeito;Masculino;20;Ensino Médio;Não
Concordo totalmente;Concordo;Concordo totalmente;Concordo;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo totalmente;Satisfeito;Feminino;19;Ensino Médio;Não
Concordo;Concordo;Indiferente;Indiferente;Discordo;Indiferente;Concordo;Indiferente;Indiferente;Discordo;Indiferente;Concordo;Indiferente;Concordo;Concordo;Concordo;Concordo;Indiferente;Indiferente;Indiferente;Concordo;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Feminino;19;Ensino Superior;Não
Concordo;Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Satisfeito;Feminino;20;Ensino Superior;Não
Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei;Satisfeito;Masculino;26;Ensino Médio;Não
Concordo;Discordo;Discordo;Concordo;Concordo;Concordo;Concordo;Discordo;Discordo;Discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Discordo;Discordo;Discordo;Concordo;Discordo;Não sei;Concordo;Não sei;Indiferente;Feminino;19;Ensino Médio;Não
Concordo;Concordo;Concordo;Indiferente;Concordo;Indiferente;Indiferente;Concordo;Concordo;Discordo;Concordo;Indiferente;Concordo;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Discordo;Concordo;Indiferente;Indiferente;Discordo;Indiferente;Satisfeito;Masculino;22;Ensino Superior;Não
Discordo;Discordo totalmente;Discordo;Concordo;Discordo;Concordo totalmente;Indiferente;Discordo;Indiferente;Indiferente;Discordo;Indiferente;Indiferente;Discordo;Indiferente;Indiferente;Não sei;Discordo totalmente;Indiferente;Indiferente;Discordo;Indiferente;Indiferente;Indiferente;Não sei;Não sei;Insatisfeito;Feminino;20;Ensino Superior;Não
Concordo;Concordo;Concordo;Concordo totalmente;Concordo;Indiferente;Indiferente;Concordo;Concordo;Não sei;Concordo;Não sei;Concordo;Não sei;Não sei;Não sei;Não sei;Não sei;Indiferente;Concordo;Indiferente;Concordo;Não sei;Não sei;Não sei;Não sei;Satisfeito;Masculino;25;Ensino Médio;Não
Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Muito satisfeito;Feminino;20;Ensino Superior;Não
Concordo;Discordo;Concordo;Não sei;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei;Não sei;Concordo;Não sei;Indiferente;Concordo;Não sei;Indiferente;Concordo;Não sei;Não sei;Indiferente;Satisfeito;Feminino;21;Ensino Superior;Não
Concordo;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei;Concordo;Concordo totalmente;Concordo;Não sei;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei;Satisfeito;Feminino;20;Curso Técnico;Não
Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Satisfeito;Feminino;19;Ensino Superior;Não
Indiferente;Indiferente;Indiferente;Concordo;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Discordo;Discordo;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Indiferente;Indiferente;Masculino;24;Ensino Superior;Não
Indiferente;Indiferente;Indiferente;Concordo;Concordo;Concordo;Concordo;Indiferente;Concordo;Discordo;Concordo;Concordo;Concordo;Não sei;Concordo;Concordo;Concordo;Concordo;Não sei;Não sei;Não sei;Indiferente;Indiferente;Concordo;Concordo;Não sei;Indiferente;Masculino;22;Ensino Superior;Não
Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Satisfeito;Feminino;19;Ensino Superior;Não
Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Muito satisfeito;Feminino;22;Ensino Superior;Não
Discordo;Discordo;Concordo;Não sei;Concordo totalmente;Concordo;Concordo;Discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei;Não sei;Não sei;Concordo;Não sei;Concordo;Concordo;Concordo;Indiferente;Não sei;Concordo;Concordo;Concordo;Satisfeito;Feminino;19;Ensino Superior;Não
Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Satisfeito;Feminino;24;Ensino Superior;Não
Concordo;Discordo;Discordo;Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Discordo;Concordo;Concordo;Concordo;Discordo;Não sei;Não sei;Não sei;Concordo;Concordo;Concordo;Concordo;Indiferente;Indiferente;Indiferente;Concordo;Não sei;Satisfeito;Masculino;21;Ensino Superior;Não
Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo totalmente;Concordo;Satisfeito;Feminino;50;Pós-Graduação;Não
Discordo;Indiferente;Concordo;Discordo;Discordo;Concordo;Concordo totalmente;Discordo;Discordo totalmente;Discordo;Concordo;Não sei;Concordo;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Discordo;Discordo;Discordo;Não sei;Não sei;Não sei;Não sei;Indiferente;Feminino;20;Ensino Médio;Não
Discordo totalmente;Indiferente;Concordo totalmente;Não sei;Concordo;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei;Não sei;Não sei;Indiferente;Indiferente;Indiferente;Concordo;Concordo;Não sei;Concordo;Concordo;Não sei;Satisfeito;Feminino;21;Ensino Médio;Não
Concordo;Indiferente;Concordo;Indiferente;Indiferente;Concordo totalmente;Não sei;Concordo;Indiferente;Concordo;Concordo;Concordo totalmente;Indiferente;Não sei;Não sei;Não sei;Indiferente;Não sei;Indiferente;Não sei;Não sei;Indiferente;Não sei;Não sei;Indiferente;Indiferente;Satisfeito;Feminino;23;Ensino Superior;Não
Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei;Muito insatisfeito;Masculino;26;Ensino Superior;Não
Concordo;Concordo;Concordo;Não sei;Não sei;Não sei;Não sei;Concordo;Concordo;Não sei;Concordo;Concordo;Concordo;Concordo;Não sei;Não sei;Não sei;Não sei;Não sei;Concordo;Concordo;Concordo;Não sei;Não sei;Não sei;Não sei;Satisfeito;Masculino;39;Curso Técnico;Não
Discordo;Concordo totalmente;Indiferente;Concordo;Indiferente;Concordo totalmente;Concordo;Indiferente;Discordo;Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei;Não sei;Não sei;Concordo;Concordo;Não sei;Não sei;Não sei;Não sei;Satisfeito;Masculino;24;Ensino Médio;Não
Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Indiferente;Concordo totalmente;Concordo;Concordo;Concordo;Satisfeito;Feminino;22;Ensino Médio;Não
Concordo;Concordo;Concordo;Concordo;Discordo totalmente;Concordo;Não sei;Discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Satisfeito;Feminino;21;Curso Técnico;Não
Discordo;Discordo;Indiferente;Indiferente;Concordo;Concordo;Discordo;Concordo;Discordo;Discordo;Indiferente;Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Indiferente;Concordo;Concordo;Concordo;Indiferente;Concordo;Indiferente;Indiferente;Satisfeito;Feminino;21;Ensino Médio;Não
Concordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo;Concordo totalmente;Concordo;Concordo;Indiferente;Indiferente;Concordo;Concordo totalmente;Concordo;Concordo;Não sei;Concordo;Concordo totalmente;Não sei;Não sei;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo;Concordo totalmente;Não sei;Satisfeito;Masculino;24;Ensino Médio;Não
Concordo;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo totalmente;Concordo;Indiferente;Discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Concordo;Indiferente;Indiferente;Indiferente;Indiferente;Concordo;Concordo;Concordo;;Concordo;Satisfeito;;34;Ensino Médio;Não
Discordo;Discordo;Indiferente;Discordo;Discordo;Concordo;Não sei;Concordo;Concordo;Discordo;Concordo;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Indiferente;Não sei;Discordo;Não sei;Não sei;Não sei;Não sei;Indiferente;Feminino;27;Ensino Médio;Não
Discordo;Discordo;Concordo;Concordo;Discordo;Concordo;Concordo;Discordo totalmente;Discordo;Concordo;Concordo;Concordo;Concordo;Discordo;Discordo;Concordo;Discordo;Concordo;Concordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Insatisfeito;Feminino;22;Ensino Médio;Não
Concordo;Indiferente;Concordo;Concordo;Discordo;Discordo;Não sei;Indiferente;Discordo;Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Concordo;Não sei;Concordo;Indiferente;Discordo;Indiferente;Concordo;Discordo;Concordo;Não sei;Satisfeito;Masculino;22;Ensino Médio;Sim
